458.9416 	DATA 	Keypress: left
458.9499 	EXP 	Device response: <KeyPress from None: t=275.72279500961304, value=escape, duration=0.09586977958679199>
458.9500 	EXP 	Device response: <KeyPress from None: t=287.5786783695221, value=space, duration=None>
458.9500 	EXP 	Device response: <KeyPress from None: t=287.5786783695221, value=space, duration=0.11192512512207031>
458.9501 	EXP 	Device response: <KeyPress from None: t=297.8026180267334, value=space, duration=None>
458.9501 	EXP 	Device response: <KeyPress from None: t=297.8026180267334, value=space, duration=0.11195206642150879>
458.9501 	EXP 	Device response: <KeyPress from None: t=300.1386082172394, value=3, duration=None>
458.9502 	EXP 	Device response: <KeyPress from None: t=300.1386082172394, value=3, duration=0.12799715995788574>
458.9502 	EXP 	Device response: <KeyPress from None: t=311.0987558364868, value=3, duration=None>
458.9502 	EXP 	Device response: <KeyPress from None: t=311.0987558364868, value=3, duration=0.12779664993286133>
458.9503 	EXP 	Device response: <KeyPress from None: t=327.5146086215973, value=3, duration=None>
458.9503 	EXP 	Device response: <KeyPress from None: t=327.5146086215973, value=3, duration=0.14396929740905762>
458.9503 	EXP 	Device response: <KeyPress from None: t=418.1066358089447, value=3, duration=None>
458.9503 	EXP 	Device response: <KeyPress from None: t=418.1066358089447, value=3, duration=0.11195635795593262>
458.9503 	EXP 	Device response: <KeyPress from None: t=432.7306241989136, value=3, duration=None>
458.9504 	EXP 	Device response: <KeyPress from None: t=432.7306241989136, value=3, duration=0.12803363800048828>
458.9504 	EXP 	Device response: <KeyPress from None: t=457.6426601409912, value=space, duration=None>
458.9504 	EXP 	Device response: <KeyPress from None: t=457.6426601409912, value=space, duration=0.08001899719238281>
458.9504 	EXP 	Device response: <KeyPress from None: t=458.93870878219604, value=left, duration=None>
458.9533 	EXP 	maskEnd
459.0700 	EXP 	Device response: <KeyPress from None: t=458.93870878219604, value=left, duration=0.12790846824645996>
459.0702 	EXP 	LeftResponse
459.0741 	EXP 	EndOfTrial
459.0906 	EXP 	FeedbackPeriodStarted
460.5962 	EXP 	Starting Trial Number 2
460.5972 	EXP 	fixationDurationInSec:0.278
460.5972 	EXP 	targetDistance:L
460.5972 	EXP 	blankDurationInFrameCount:90
460.5972 	EXP 	displacement:0.5000
460.6020 	EXP 	startFixDisplay
460.6062 	EXP 	startFixPeriod
460.8810 	EXP 	targetPresented
460.8893 	EXP 	blankDurationStart
461.2640 	EXP 	maskStart
461.4223 	DATA 	Keypress: left
461.7596 	EXP 	Device response: <KeyPress from None: t=461.4186613559723, value=left, duration=None>
461.7596 	EXP 	Device response: <KeyPress from None: t=461.4186613559723, value=left, duration=0.09599518775939941>
461.7636 	EXP 	maskEnd
462.3008 	EXP 	Device response: <KeyPress from None: t=462.29862093925476, value=left, duration=None>
462.3028 	DATA 	Keypress: left
462.3965 	EXP 	Device response: <KeyPress from None: t=462.29862093925476, value=left, duration=0.09604525566101074>
462.3967 	EXP 	LeftResponse
462.4006 	EXP 	EndOfTrial
462.4089 	EXP 	FeedbackPeriodStarted
463.9138 	EXP 	Starting Trial Number 3
463.9146 	EXP 	fixationDurationInSec:0.344
463.9146 	EXP 	targetDistance:R
463.9146 	EXP 	blankDurationInFrameCount:80
463.9146 	EXP 	displacement:0.5000
463.9161 	EXP 	startFixDisplay
463.9453 	EXP 	startFixPeriod
464.2867 	EXP 	targetPresented
464.2950 	EXP 	blankDurationStart
464.6281 	EXP 	maskStart
464.7492 	DATA 	Keypress: right
465.1237 	EXP 	Device response: <KeyPress from None: t=464.746741771698, value=right, duration=None>
465.1237 	EXP 	Device response: <KeyPress from None: t=464.746741771698, value=right, duration=0.07996702194213867>
465.1276 	EXP 	maskEnd
465.4525 	EXP 	Device response: <KeyPress from None: t=465.4506537914276, value=right, duration=None>
465.4539 	DATA 	Keypress: right
465.5649 	EXP 	Device response: <KeyPress from None: t=465.4506537914276, value=right, duration=0.11198544502258301>
465.5651 	EXP 	RightResponse
465.5689 	EXP 	EndOfTrial
465.5773 	EXP 	FeedbackPeriodStarted
467.0785 	EXP 	Starting Trial Number 4
467.0793 	EXP 	fixationDurationInSec:0.325
467.0793 	EXP 	targetDistance:R
467.0793 	EXP 	blankDurationInFrameCount:70
467.0793 	EXP 	displacement:0.5000
467.0802 	EXP 	startFixDisplay
467.0844 	EXP 	startFixPeriod
467.4093 	EXP 	targetPresented
467.4176 	EXP 	blankDurationStart
467.7089 	EXP 	maskStart
468.2085 	EXP 	maskEnd
468.4918 	EXP 	Device response: <KeyPress from None: t=468.4907326698303, value=right, duration=None>
468.4936 	DATA 	Keypress: right
468.5875 	EXP 	Device response: <KeyPress from None: t=468.4907326698303, value=right, duration=0.09592866897583008>
468.5876 	EXP 	RightResponse
468.5916 	EXP 	EndOfTrial
468.6000 	EXP 	FeedbackPeriodStarted
470.1136 	EXP 	Starting Trial Number 5
470.1144 	EXP 	fixationDurationInSec:0.283
470.1144 	EXP 	targetDistance:L
470.1144 	EXP 	blankDurationInFrameCount:60
470.1144 	EXP 	displacement:0.5000
470.1154 	EXP 	startFixDisplay
470.1195 	EXP 	startFixPeriod
470.3985 	EXP 	targetPresented
473.9200 	EXP 	Starting Trial Number 6
473.9208 	EXP 	fixationDurationInSec:0.380
473.9208 	EXP 	targetDistance:R
473.9208 	EXP 	blankDurationInFrameCount:70
473.9208 	EXP 	displacement:0.5000
473.9250 	EXP 	startFixDisplay
473.9292 	EXP 	startFixPeriod
474.3002 	DATA 	Keypress: left
474.3080 	EXP 	targetPresented
474.3163 	EXP 	blankDurationStart
474.6078 	EXP 	maskStart
475.1034 	EXP 	Device response: <KeyPress from None: t=474.29874539375305, value=left, duration=None>
475.1034 	EXP 	Device response: <KeyPress from None: t=474.29874539375305, value=left, duration=0.271942138671875>
475.1074 	EXP 	maskEnd
476.1232 	EXP 	Device response: <KeyPress from None: t=476.1227285861969, value=right, duration=None>
476.1244 	DATA 	Keypress: right
476.2357 	EXP 	Device response: <KeyPress from None: t=476.1227285861969, value=right, duration=0.1119394302368164>
476.2359 	EXP 	RightResponse
476.2398 	EXP 	EndOfTrial
476.2481 	EXP 	FeedbackPeriodStarted
477.7576 	EXP 	Starting Trial Number 7
477.7584 	EXP 	fixationDurationInSec:0.294
477.7584 	EXP 	targetDistance:R
477.7584 	EXP 	blankDurationInFrameCount:60
477.7584 	EXP 	displacement:0.5000
477.7594 	EXP 	startFixDisplay
477.7636 	EXP 	startFixPeriod
478.0551 	EXP 	targetPresented
478.0634 	EXP 	blankDurationStart
478.3132 	EXP 	maskStart
478.8128 	EXP 	maskEnd
479.2126 	EXP 	Device response: <KeyPress from None: t=479.21072578430176, value=right, duration=None>
479.2139 	DATA 	Keypress: right
479.3083 	EXP 	Device response: <KeyPress from None: t=479.21072578430176, value=right, duration=0.09592533111572266>
479.3085 	EXP 	RightResponse
479.3124 	EXP 	EndOfTrial
479.3208 	EXP 	FeedbackPeriodStarted
480.8217 	EXP 	Starting Trial Number 8
480.8224 	EXP 	fixationDurationInSec:0.231
480.8225 	EXP 	targetDistance:L
480.8225 	EXP 	blankDurationInFrameCount:50
480.8225 	EXP 	displacement:0.5000
480.8237 	EXP 	startFixDisplay
480.8277 	EXP 	startFixPeriod
481.0568 	EXP 	targetPresented
481.0652 	EXP 	blankDurationStart
481.2734 	EXP 	maskStart
481.7730 	EXP 	maskEnd
482.0770 	EXP 	Device response: <KeyPress from None: t=482.0747780799866, value=left, duration=None>
482.0787 	DATA 	Keypress: left
482.1728 	EXP 	Device response: <KeyPress from None: t=482.0747780799866, value=left, duration=0.09589791297912598>
482.1729 	EXP 	LeftResponse
482.1769 	EXP 	EndOfTrial
482.1852 	EXP 	FeedbackPeriodStarted
483.6947 	EXP 	Starting Trial Number 9
483.6955 	EXP 	fixationDurationInSec:0.311
483.6955 	EXP 	targetDistance:R
483.6955 	EXP 	blankDurationInFrameCount:40
483.6955 	EXP 	displacement:0.5000
483.6963 	EXP 	startFixDisplay
483.7006 	EXP 	startFixPeriod
484.0087 	EXP 	targetPresented
484.0171 	EXP 	blankDurationStart
484.1836 	EXP 	maskStart
484.6833 	EXP 	maskEnd
484.9556 	DATA 	Keypress: right
484.9581 	EXP 	Device response: <KeyPress from None: t=484.9547061920166, value=right, duration=None>
485.0539 	EXP 	Device response: <KeyPress from None: t=484.9547061920166, value=right, duration=0.09598326683044434>
485.0540 	EXP 	RightResponse
485.0579 	EXP 	EndOfTrial
