,startTime,stopTime,whichEye
242,822.063,822.208,L
242,822.063,822.208,R
243,825.963,826.118,R
243,825.963,826.118,L
244,829.399,829.568,L
244,829.399,829.568,R
245,833.474,833.621,R
245,833.474,833.621,L
246,837.449,837.6,L
246,837.449,837.6,R
247,840.605,840.754,R
247,840.605,840.754,L
248,844.521,844.693,L
248,844.521,844.693,R
249,847.666,847.794,R
249,847.666,847.794,L
250,851.581,851.721,R
250,851.581,851.721,L
251,852.201,852.372,L
251,852.201,852.372,R
252,854.571,854.734,R
252,854.571,854.734,L
253,858.094,858.244,L
253,858.094,858.244,R
254,862.353,862.524,R
254,862.353,862.524,L
255,866.067,866.223,L
255,866.067,866.223,R
256,870.455,870.589,R
256,870.455,870.589,L
257,870.79,870.987,L
257,870.79,870.987,R
258,875.403,875.538,L
258,875.403,875.538,R
259,878.647,878.804,R
259,878.647,878.804,L
260,883.851,884.022,L
260,883.851,884.022,R
261,884.932,885.509,R
261,884.932,885.509,L
262,887.555,887.686,L
262,887.555,887.686,R
263,891.348,891.484,R
263,891.348,891.484,L
264,891.781,891.953,L
264,891.781,891.953,R
265,898.001,898.162,R
265,898.001,898.162,L
266,900.415,900.568,R
266,900.415,900.568,L
267,904.205,904.302,L
267,904.205,904.302,R
268,909.898,909.985,L
268,909.898,909.985,R
269,910.593,911.201,R
269,910.593,911.201,L
270,918.499,918.594,L
270,918.499,918.594,R
271,922.484,922.667,R
271,922.484,922.667,L
272,927.409,927.564,L
272,927.409,927.564,R
273,931.849,932.021,R
273,931.849,932.021,L
274,932.813,933.062,L
274,932.813,933.062,R
275,933.217,933.346,R
275,933.217,933.346,L
276,936.611,936.754,L
276,936.611,936.754,R
277,939.964,940.109,R
277,939.964,940.109,L
278,942.953,943.13,L
278,942.953,943.13,R
279,949.824,949.96,R
279,949.824,949.96,L
280,954.571,954.727,L
280,954.571,954.727,R
281,955.38,955.542,R
281,955.38,955.542,L
282,958.136,958.265,L
282,958.136,958.265,R
283,961.666,961.847,R
283,961.666,961.847,L
284,964.604,964.735,L
284,964.604,964.735,R
285,968.426,968.599,R
285,968.426,968.599,L
286,973.792,973.956,L
286,973.792,973.956,R
287,976.737,976.9,R
287,976.737,976.9,L
288,981.426,981.59,L
288,981.426,981.59,R
289,985.859,986.017,R
289,985.859,986.017,L
290,989.601,989.729,L
290,989.601,989.729,R
291,992.659,992.812,R
291,992.659,992.812,L
292,996.37,996.565,L
292,996.37,996.565,R
293,997.316,997.519,R
293,997.316,997.519,L
294,999.836,999.999,R
294,999.836,999.999,L
295,1002.69,1002.848,L
295,1002.69,1002.848,R
296,1006.287,1006.426,L
296,1006.287,1006.426,R
297,1009.396,1009.553,L
297,1009.396,1009.553,R
298,1013.284,1013.439,R
298,1013.284,1013.439,L
299,1014.16,1014.292,R
299,1014.16,1014.292,L
300,1017.406,1017.577,L
300,1017.406,1017.577,R
301,1020.831,1021.037,R
301,1020.831,1021.037,L
302,1024.407,1024.568,L
302,1024.407,1024.568,R
303,1027.539,1027.725,L
303,1027.539,1027.725,R
304,1030.894,1031.035,R
304,1030.894,1031.035,L
305,1035.646,1035.817,L
305,1035.646,1035.817,R
306,1040.214,1040.355,R
306,1040.214,1040.355,L
307,1044.066,1044.213,L
307,1044.066,1044.213,R
308,1049.03,1049.176,R
308,1049.03,1049.176,L
309,1052.497,1052.659,L
309,1052.497,1052.659,R
310,1055.869,1055.999,R
